clean_text,sentiment_label
part negara agamis tapi kok tingkat korupsi tinggi youtu be 6cl3adqfptu,Negatif
ini jawaban buat saya saya berbisnis dari berjalan sampai ketika ada masalah penghasilan menurun disitu saya pusing tapi kalau saya pikir ke tujuannya ternyata lebih adem dulu tujuan mau lunasin semua hutang orang tua dan ngejamin orang tua agar terhindar dari riba semua berjalan lancar begitu hutang semua lunas pendapatan menurun saya pusing padahal kalau di pikir2 tujuan saya tetap terpenuhi orang tua masih terjamin biaya anak istri terpenuhi sodara yang di ajak kerja masih sanggup ngegaji cuma merasa kurang saja lalu yang saya pusingin apa ternyata tujuan saya yang sudah selesai sama kurang bersyukur ternyata oke buat tujuan baru yang lebih besar,Negatif
ayo siapa yang ke channel ini karena ada ust felix,Positif
kesalahan utama dalam bisnis tujuan bisnis dalam islam csr dan niat berbisnis kejujuran dalam berbisnis bohong vs marketing pinjaman dengan bunga riba latar belakang bisnis ustaz dakwah adalah jualan ide produk bisnis ustaz felix tarif pendakwah perjalanan ustaz menjadi mualaf reaksi orang tua semangat mendalami islam pentingnya siap menghadapi kematian pandangan islam tentang bitcoin cara mengembangkan uang syirkah bank syariah dan kerugian alokasi tabungan ustaz pendapatan youtube sebelum diblokir fluktuasi mata uang usd idr orang jahat lebih mudah kayak prinsip kapitalis vs islam,Negatif
krjaku cuma sopir truk trailer disby dan ku islam ktp tapi ku senang banget kalau ada podkes ust felix siauw mudah an membawa kebaikan kpda kita semua amminn,Positif
senang koh leon ada terpikirkan undang ust felix ust felix enggak cuma ilmu agamanya pintar tapi secara pemikiran dia logis dan wawasannya pun cukup luas semoga makin banyak orang-orang yang sadar dan bisa punya pemikiran seperti ust dan untuk koh leon sukses terus untuk channelnya thumbs up terang skin tone,Positif
series paling gila sudut pandang sisi ekonomi tujuan hidup agama,Negatif
bolak balik nontonin ust felix di berbagai podcast,Netral
tidak semua podcast yang pas endingnya muncul dalem ati laah kok udahan masih pengin mendengarkan dipodcats ini saya merasakan itu,Negatif
chindo2 cerdas ini aset negara bermanfaat untuk khalayak netizen,Netral
dulu jaman sd sampai sampai punya guru agama yang gemar sekali mengajarkan agama dengan doktrin2 dibanding big why atau logika agama seperti hanya sekedar atribut rutinitas biasa tanpa ada esensinya bahkan saya melihat sekarang pun banyak orang memakai atribut keagamaan namun tidak dibarengi dengan perilaku yang diajarkan dalam agama terlihat agamis namun gemar mengambil hak orang lain melakukan pelecehan bahkan menjual agama untuk politik gemar mengkafir2kan orang bahkan menghakimi menghitung dosa manusia lain yang jelas-jelas bukan jobdesk kita sebagai manusia saya bersyukur bisa menemukan channel podcast dengan ustadz felix sebagai pembicara banyak pencerahan tentang agama dan mengajarkan bahwa ajaran agama semestinya diterapkan dalam kehidupan sehari hari termasuk menghormati sesama manusia termasuk perbedaan islam jelas-jelas mengajarkan hablum minannas hubungan baik dengan sesama manusia agama yang indah dirusak oleh oknum2 untuk kepentingan pribadi indonesia butuh lebih banyak ustadz seperti ustadz felix siauw,Negatif
chindo seperti ustd felix siaw wajib di jaga di lindungi dari rasisme i like ustd felix siaw,Netral
wah kok leon kali ini tamunya bukan main-main ustad favorit felix siauw full daging tanpa nasi terima kasih kok leon dan ustad felix sehat selalu jangan menyerah untuk mengedukasi,Positif
saya islam dari lahir tapi saya suka mendengarkan dakwah ust felix,Positif
tiap ustadz felix jadi narasumber betah dan nyaman banget mengikuti ulasannya,Positif
ketika niat dakwah dapat previlage redaksi heart semoga papinya ustadz felix sehat selalu dan lancar usahanya redaksi heart,Positif
belajar islam itu bukan yang di senangi jiwa untuk menyelaras kan niat yang baik butuh mentor,Negatif
ummat islam butuh banyak ustad pebisnis seperti ustad felix semoga allah menjaganya,Positif
dimana ada ustadz felix disitu selalu saya standby jazakillah khair ustadz dan kok leon smiling face with smiling eyes,Positif
undang ustad khalid kok insyaallah ilmu beliau tentang bisnis dalam islam thumbs up thumbs up thumbs up,Netral
kami pribumi siap menjaga ustd felix siaw dari rasisme karena beliau sudah menjadi mayoritas di negeri kami i like koh felix siaw,Positif
crying face durasinya sebentar banget koh part kurang masih banyak bahasan pandangan terhadap sistem2 yang berlaku di konoha insight nya cerah banget koh felix sumpah deh jelas dan lugas banget,Positif
terima kasih banget koh leon ini isinya konten bergizi banget redaksi heart redaksi heart,Positif
negara agamis tapi tidak takut sama tuhannya sendiri bersumpah di atas kitab suci pun masih korupsi,Negatif
ust felix terbaiq redaksi heart,Netral
penggemarsetiase yang dijaga itu kita supaya kita tidak menjadi orang yang rasis,Positif
pengin komen takut dirujak cuma iya mulai paham sih,Positif
penggemarsetiase kalau yang lain enggak apa-apa iya di rasisin tong yang rasisin kan teman-teman kamu juga,Negatif
emang gue pikirin mrajiboy,Positif
karena agamanya cuma ktp saja koh,Negatif
